N,m,L,EPS,RPE,C,automerge,sync9
200,10,100,5,-1,5,2.215,1.454
200,10,100,5,-1,10,3.059,6.825
200,10,100,5,-1,15,4.403,9.973
200,10,100,5,5,5,1.701,3.136
200,10,100,5,5,10,2.797,6.802
200,10,100,5,5,15,4.164,8.771
200,10,100,5,10,5,1.782,2.166
200,10,100,5,10,10,2.781,5.65
200,10,100,5,10,15,4.273,9.928
200,10,100,10,-1,5,1.767,2.79
200,10,100,10,-1,10,2.877,5.578
200,10,100,10,-1,15,4.049,8.688
200,10,100,10,5,5,1.918,2.129
200,10,100,10,5,10,3.014,5.877
200,10,100,10,5,15,4.074,7.941
200,10,100,10,10,5,1.948,2.048
200,10,100,10,10,10,3.031,7.081
200,10,100,10,10,15,4.098,8.479
200,10,150,5,-1,5,2.85,1.832
200,10,150,5,-1,10,4.476,12.989
200,10,150,5,-1,15,6.452,23.785
200,10,150,5,5,5,2.542,6.659
200,10,150,5,5,10,4.335,15.597
200,10,150,5,5,15,6.129,22.004
200,10,150,5,10,5,2.691,6.537
200,10,150,5,10,10,4.372,12.861
200,10,150,5,10,15,6.162,21.421
200,10,150,10,-1,5,2.764,7.411
200,10,150,10,-1,10,4.371,11.569
200,10,150,10,-1,15,5.935,25.368
200,10,150,10,5,5,2.615,5.886
200,10,150,10,5,10,4.242,14.65
200,10,150,10,5,15,5.849,21.294
200,10,150,10,10,5,2.764,6.501
200,10,150,10,10,10,4.297,15.874
200,10,150,10,10,15,5.864,23.61
200,10,200,5,-1,5,3.627,2.796
200,10,200,5,-1,10,5.944,33.991
200,10,200,5,-1,15,8.478,80.761
200,10,200,5,5,5,3.753,12.703
200,10,200,5,5,10,5.862,27.416
200,10,200,5,5,15,8.096,45.561
200,10,200,5,10,5,3.663,12.59
200,10,200,5,10,10,6.001,27.45