doclength,editsize,editnum,eps,rpe,clients,algorithm,time
100,10,200,0.5,-1,10,"Automerge",6.642
100,10,200,0.5,-1,10,"Sync9",7.629
100,10,200,0.8,-1,10,"Automerge",5.845
100,10,200,0.8,-1,10,"Sync9",40.888
100,10,200,0.5,-1,20,"Automerge",11.071
100,10,200,0.5,-1,20,"Sync9",81.997
100,10,200,0.8,-1,20,"Automerge",10.833
100,10,200,0.8,-1,20,"Sync9",76.289
100,10,200,0.5,-1,30,"Automerge",17.866
100,10,200,0.5,-1,30,"Sync9",167.923
100,10,200,0.8,-1,30,"Automerge",16.069
100,10,200,0.8,-1,30,"Sync9",147.782
100,10,200,0.5,-1,10,"Automerge",6.167
100,10,200,0.5,-1,10,"Sync9",10.837
100,10,200,0.8,-1,10,"Automerge",7.029
100,10,200,0.8,-1,10,"Sync9",28.037
100,10,200,0.5,-1,20,"Automerge",11.241
100,10,200,0.5,-1,20,"Sync9",77.256
100,10,200,0.8,-1,20,"Automerge",12.019
100,10,200,0.8,-1,20,"Sync9",72.57
100,10,200,0.5,-1,30,"Automerge",15.943
100,10,200,0.5,-1,30,"Sync9",140.486
100,10,200,0.8,-1,30,"Automerge",16.049
100,10,200,0.8,-1,30,"Sync9",203.394